method,contrast_id,effect_type,program,k,estimate,se_hksj,ci_low,ci_high,p,tau2,i2,q,q_p,prediction_low,prediction_high,max_weight_fraction,direction_concordance,n_study_fdr_le_005,all_study_effects_same_sign,datasets,study_effects,study_fdr,meta_fdr
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_WNT_BETA_CATENIN_SIGNALING,3,-0.33731397541559077,0.33580616952209635,-1.7821713073765491,1.1075433565453676,0.42092536364167471,0,0,0.056775645038903609,0.97201132581216731,-4.6041359170339335,3.9295079662027517,0.59707561718799507,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.193255286123;GSE234774:-0.376132667818;GSE304399:-0.399368927522,GSE162610:0.921373183737;GSE234774:0.466921708875;GSE304399:0.883117745964,0.75128400951450103
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_ADIPOGENESIS,3,0.38060429185089606,0.50350483893334241,-1.7858021778277127,2.5470107615295046,0.52860471774526885,0.40140694039936031,53.346386273952909,4.2869133605472101,0.11724884994519652,-9.9021941404820151,10.663402724183806,0.37774491080265932,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:1.16841325192;GSE234774:-0.413260827497;GSE304399:0.463659952667,GSE162610:0.344323894762;GSE234774:0.484826997893;GSE304399:0.849605262796,0.75514959677895555
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_COMPLEMENT,3,0.17290868659112488,0.2129653380322343,-0.74340720643528491,1.0892245796175346,0.50211096348240802,0,0,1.223305729377099,0.54245352540763636,-2.5330725001550953,2.8788898733373451,0.5425675489814602,0.33333333333333331,0,False,GSE162610;GSE234774;GSE304399,GSE162610:-0.0359740553094;GSE234774:-0.119901002064;GSE304399:0.387624458549,GSE162610:0.947551037868;GSE234774:0.833863771624;GSE304399:0.670232071594,0.75514959677895555
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_IL6_JAK_STAT3_SIGNALING,3,-0.1683632029359162,0.20250264465011755,-1.0396617597212297,0.70293535384939732,0.49319634426571796,0,0,1.5607218163902565,0.45824059867023081,-2.7414032654771412,2.4046768596053085,0.55119448641215874,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.193038385135;GSE234774:-0.560066890436;GSE304399:-0.150697765093,GSE162610:0.921373183737;GSE234774:0.344744624629;GSE304399:0.849605262796,0.75514959677895555
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_NOTCH_SIGNALING,3,-0.33781630778745625,0.43243747567294583,-2.1984445929376233,1.5228119773627107,0.51647888754758697,0.19969642201429652,32.159496332070255,2.9480913198842602,0.22899716396380226,-8.2391816750017082,7.563549059426796,0.48387612629982918,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:-0.210895323196;GSE234774:-0.872272863618;GSE304399:0.584364028339,GSE162610:0.921373183737;GSE234774:0.182256530603;GSE304399:0.849605262796,0.75514959677895555
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_INTERFERON_ALPHA_RESPONSE,3,0.351764051818376,0.49805143621055925,-1.7911783197486266,2.4947064233853786,0.55320458494745695,0.48950834070546773,69.520800641154139,6.5618521551470748,0.037593426252802709,-10.560517902742918,11.264046006379671,0.42806747932890593,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:1.18577596206;GSE234774:-0.581164717549;GSE304399:0.651348710413,GSE162610:0.52606954422;GSE234774:0.363065861171;GSE304399:0.393715536668,0.76833970131591245
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_COAGULATION,3,-0.1291790294510371,0.20622927632129878,-1.0165119881691294,0.75815392926705516,0.59502469416221559,0,0,0.71632358732552148,0.69895997856257353,-2.7495704369826033,2.4912123780805295,0.51503653873883604,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.100533741074;GSE234774:-0.382979657076;GSE304399:-0.0748877488038,GSE162610:0.946827571559;GSE234774:0.450713670205;GSE304399:0.953038542333,0.80408742454353455
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_FATTY_ACID_METABOLISM,3,0.33757975999764722,0.61218834755497475,-2.2964541047305773,2.971613624725872,0.63671881503058969,0.60983958738502575,54.77756320789301,4.4225834383809124,0.10955903756310112,-12.270498257757321,12.945657777752615,0.36824928716434785,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:1.42953379993;GSE234774:-0.547196927561;GSE304399:0.169746508819,GSE162610:0.344323894762;GSE234774:0.466921708875;GSE304399:0.979905695538,0.83303186036878984
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_HEME_METABOLISM,3,0.18003427526299468,0.35824025163523465,-1.3613491213414819,1.7214176718674712,0.66515578937472974,0,0,0.21856413271408498,0.89647751568534584,-4.3718397067530379,4.7319082572790272,0.41016545009115346,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.264050508162;GSE234774:-0.0692837168147;GSE304399:0.30973945747,GSE162610:0.921373183737;GSE234774:0.935238837758;GSE304399:0.849605262796,0.83303186036878984
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_INTERFERON_GAMMA_RESPONSE,3,0.16872185889397087,0.33716923253911868,-1.2820002598779991,1.6194439776659411,0.66642548829503179,0.15708116921340334,46.13100654480229,3.7127109153494384,0.15624102099095644,-6.442953461486618,6.7803971792745594,0.48648942877877105,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.653310465115;GSE234774:-0.531971241537;GSE304399:0.407986236895,GSE162610:0.731677038255;GSE234774:0.391952755419;GSE304399:0.595819545965,0.83303186036878984
