term,gene,GSE162610_early_rank_statistic,GSE162610_early_fdr,GSE162610_early_leading_edge,GSE162610_late_rank_statistic,GSE162610_late_fdr,GSE162610_late_leading_edge,GSE162610_delta_rank_statistic,GSE162610_delta_fdr,GSE162610_delta_leading_edge,GSE162610_expected_temporal_sign_pattern,GSE234774_early_rank_statistic,GSE234774_early_fdr,GSE234774_early_leading_edge,GSE234774_late_rank_statistic,GSE234774_late_fdr,GSE234774_late_leading_edge,GSE234774_delta_rank_statistic,GSE234774_delta_fdr,GSE234774_delta_leading_edge,GSE234774_expected_temporal_sign_pattern,GSE304399_early_rank_statistic,GSE304399_early_fdr,GSE304399_early_leading_edge,GSE304399_late_rank_statistic,GSE304399_late_fdr,GSE304399_late_leading_edge,GSE304399_delta_rank_statistic,GSE304399_delta_fdr,GSE304399_delta_leading_edge,GSE304399_expected_temporal_sign_pattern,n_studies_expected_temporal_sign_pattern,n_studies_early_leading_edge,n_studies_late_leading_edge,n_studies_delta_leading_edge,strong_shared_temporal_driver,partial_shared_temporal_driver,bootstrap_mean_expected,bootstrap_min_expected,n_bootstrap_instances,jackknife_mean_expected,jackknife_min_expected,n_jackknife_instances,n_hallmark_memberships,stability_class
HALLMARK_HYPOXIA,Errfi1,6.07282238453469,0.0128213731537293,True,1.5604954398715296,0.349669943593059,False,-4.327432243166558,0.0633550848355388,True,True,3.504724463804688,0.0179230487872873,True,-0.4239987204438404,0.789979180474797,False,-3.522682854269332,0.0485120951075798,True,False,1.74864381387352,0.473058003034418,True,0.0536745041688634,0.989045582668816,False,-1.7745071702742663,0.664412345570387,True,True,2,3,0,3,False,False,0.979,0.9355,6.0,1.0,1.0,6.0,2,unstable
HALLMARK_HYPOXIA,Ets1,-2.5486570212050865,0.148235432412977,False,-4.0949524795779,0.040601488012778,False,-1.7717727671803425,0.425638018847442,True,False,5.535810876556652,0.001216844161004,True,2.265651223638577,0.107637811827978,True,-3.174880700463837,0.0723463396343483,True,True,1.3380846402865292,0.594299877759295,False,3.2999597037285024,0.122328198612306,True,2.277242422662197,0.473715290992718,False,False,1,1,2,2,False,False,1.0,1.0,5.0,1.0,1.0,5.0,3,unstable
HALLMARK_HYPOXIA,Ext1,0.7078204220934302,0.682540764154606,False,-0.3380061002380947,0.85324485021104,False,-1.06207383543463,0.660563148303745,False,False,1.5227807140865346,0.281919989618737,False,1.3194032567430405,0.35527331911436,True,-0.0465614211852082,0.985437441502582,False,True,1.0154982888623971,0.702773274802409,False,-0.0458628587075507,0.99020693256191,False,-1.0579669348364242,0.827400713513025,False,False,1,0,1,0,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2,unstable
HALLMARK_HYPOXIA,F3,2.624032086952932,0.13907922480684,True,0.5929426354760006,0.736069607433494,False,-2.0155959993579917,0.350444053167223,True,True,3.974087421762342,0.0092250269174736,True,1.8991239541717029,0.176386789054801,True,-1.93964119579325,0.277602378348719,True,True,-0.7272513008569577,0.796329101430479,False,-2.5821326654677743,0.256878114801622,False,-2.055134284153347,0.557367969205914,True,False,2,2,1,3,False,False,0.9973333333333333,0.984,6.0,1.0,1.0,6.0,6,unstable
HALLMARK_HYPOXIA,Fam162a,4.477994373716168,0.0308205728075907,True,1.46262355641291,0.380914466091285,False,-2.6995773942337173,0.201482571843665,True,True,0.2095175274907823,0.900237512532366,False,-1.1847702534132594,0.410632033120348,False,-1.205589988373147,0.537035615585218,False,False,0.634650089559318,0.82615166866384,False,0.653676758758408,0.820868831881812,False,0.0284022604570732,0.996896279220881,False,False,1,1,0,1,False,False,1.0,1.0,2.0,1.0,1.0,2.0,3,unstable
HALLMARK_HYPOXIA,Fbp1,-0.6094697816050217,0.728114307038557,False,1.036135673261226,0.53867628550645,False,1.7231602856206063,0.440934436297095,False,False,1.9873435210581003,0.157158376627036,False,-1.6952961643381017,0.228377561404338,False,-3.273073144078697,0.0643525309484368,True,False,NA,NA,False,NA,NA,False,NA,NA,False,False,0,0,0,1,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2,unstable
HALLMARK_HYPOXIA,Fos,-2.005103127776556,0.239800049064747,False,-1.307248487357432,0.434716828856532,False,0.4937449593102401,0.851203955005013,False,False,5.276759312600002,0.0016488167022527,True,2.896793160454905,0.0434450935475648,True,-2.8944500827545547,0.0991643261890045,True,True,4.391822593290001,0.0342988852761626,True,2.155957865764576,0.361618638754509,True,-2.214025562881472,0.497552317426086,True,True,2,2,2,2,False,True,0.98825,0.9295,6.0,1.0,1.0,6.0,6,moderately_stable
HALLMARK_HYPOXIA,Fosl2,3.761180613152914,0.0519188269548554,True,2.8259031078047547,0.115193719233899,True,-0.6762151877577459,0.78478592789077,False,True,6.6545048131877405,0.0003558077779877,True,2.722715246963969,0.0560807581229243,True,-3.674920116782424,0.0412120085706658,True,True,6.096332431359691,0.006456972286737,True,4.381357786211294,0.0346820531973045,True,-1.739850459794871,0.673323432010777,True,True,3,3,3,2,True,True,0.9720625,0.777,8.0,0.975,0.8,8.0,2,moderately_stable
HALLMARK_HYPOXIA,Foxo3,-1.394118598541151,0.404160297368161,False,1.7308802872736968,0.303313252185585,True,3.246444865494716,0.13154218718062,False,False,4.82645537317629,0.0028802584123555,True,6.062796654037844,0.0006589556282663,True,1.2629645577380637,0.51322663884915,False,False,0.7266211303330476,0.796463151291834,False,2.6480701186035227,0.243025264803161,True,1.972698481959903,0.590023768439099,False,False,0,1,3,0,False,False,0.7518750000000001,0.0075,4.0,0.75,0.0,4.0,3,unstable
HALLMARK_HYPOXIA,Gaa,0.2900463487110346,0.875228534424896,False,4.893805775335246,0.023930130344997,True,4.862382260699188,0.0459027390170289,False,False,-0.7987238032884529,0.593800837270865,False,-3.123865869992441,0.0311316290240059,False,-1.977913881759413,0.267365071217468,True,False,-0.058352814773645,0.98805748438623,False,-0.9990344651474312,0.708380390168403,False,-0.9507427996577206,0.844673350720168,False,False,0,0,1,1,False,False,0.97925,0.9585,2.0,1.0,1.0,2.0,2,unstable
HALLMARK_HYPOXIA,Galk1,3.5955113382461894,0.0589576606173535,True,2.1049965069370065,0.220938094469163,True,-1.2703225390370063,0.596806729304271,False,True,0.7133869877573732,0.637710236118013,False,-0.6329373365085084,0.679985148580828,False,-1.215562438247556,0.532595598868066,False,False,-0.8117682436360469,0.769679619812335,False,1.1618705813414127,0.653325197510022,True,2.0917714070347717,0.54483005210859,False,False,1,1,2,0,False,False,0.7161666666666666,0.2865,3.0,0.7999999999999999,0.4,3.0,2,unstable
HALLMARK_HYPOXIA,Gapdh-ps15,NA,NA,False,NA,NA,False,NA,NA,False,False,NA,NA,False,NA,NA,False,NA,NA,False,False,NA,NA,False,NA,NA,False,NA,NA,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,2,not_evaluable
HALLMARK_HYPOXIA,Gapdhs,NA,NA,False,NA,NA,False,NA,NA,False,False,-7.344773655099603,0.0001770662952844,False,-7.034016459595692,0.0002392653040916,False,0.2334536322614098,0.926995989033833,False,False,-1.9900937544234916,0.406250799880284,False,-1.01433621387446,0.70323099678432,False,0.8863275963126735,0.854904599889551,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,4,not_evaluable
HALLMARK_HYPOXIA,Gbe1,-2.650029919868921,0.135433839335393,False,-1.7590378700911204,0.295788002992676,False,0.6525376467795986,0.79406533689643,False,False,1.6514674372832578,0.241134292935824,False,1.627095393105716,0.248400694954919,True,-0.0829441558734816,0.975390356710752,False,True,-0.8385277003405069,0.760713397961821,False,-0.0925394388077914,0.980419406425464,False,0.7785355606644397,0.872251445795389,False,False,1,0,1,0,False,False,1.0,1.0,1.0,1.0,1.0,1.0,3,unstable
HALLMARK_HYPOXIA,Gck,-0.6644448497566758,0.703113479258167,False,-0.908412901345256,0.592337318016812,False,-0.3978336491364018,0.884900773422317,False,False,-0.6732270410533092,0.658683236546036,False,-0.7382125279552584,0.624682693642778,False,-0.058792037789938,0.98247981192513,False,False,0.8670199158965404,0.751448933741094,False,-0.6400921672111508,0.824387377888982,False,-1.5398728141324036,0.728913338719621,True,False,0,0,0,1,False,False,0.961,0.961,1.0,1.0,1.0,1.0,2,unstable
HALLMARK_HYPOXIA,Gcnt2,2.7116225139113177,0.127949246994624,True,1.8475799349906863,0.274368119354554,True,-0.6426890033303811,0.797380368472374,False,True,10.739323757022724,1.93802869822294e-05,True,5.472038672698381,0.0013033406507553,True,-5.258961165790996,0.006924888833196,True,True,7.417165595722023,0.0023584987768421,True,5.648928719661266,0.0095562220000983,True,-1.8960540362978089,0.61751845657728,True,True,3,3,3,2,True,True,0.83125,0.0,8.0,0.8541666666666667,0.0,8.0,2,moderately_stable
HALLMARK_HYPOXIA,Glrx,9.77697482408034,0.0046519038454611,True,4.442548440447485,0.0314602013272298,True,-4.90029263057036,0.0454079326877627,True,True,4.021328765016303,0.0085340013738442,True,-0.0750452866334471,0.96603317138094,False,-3.663564273110784,0.041356201287224,True,False,1.2626441155101709,0.619527658623799,False,-0.1989408453288901,0.954979201889748,False,-1.4541205387802127,0.747102420913038,True,False,1,2,1,3,False,False,0.9935,0.961,6.0,1.0,1.0,6.0,5,unstable
HALLMARK_HYPOXIA,Gpc1,1.4699626233104,0.378604301189455,False,-0.1731084027146776,0.928573605240615,False,-1.5577359267405166,0.496050252321049,False,False,2.3784448527949644,0.0918733662296336,True,-0.9596234075587332,0.513185991361312,False,-2.9513431266242773,0.0929040995446853,True,False,-1.633496768594773,0.504873124349629,False,-1.5484944352045176,0.531816028140115,False,0.0462366603752807,0.993660689485849,False,False,0,1,0,1,False,False,0.9995,0.999,2.0,1.0,1.0,2.0,3,unstable
HALLMARK_HYPOXIA,Gpc3,-1.9642606245509555,0.248471339860907,False,-1.1534989245299296,0.493201223699658,False,0.6215950083301409,0.806010785271169,False,False,-1.3609228241087876,0.339142251031073,False,-0.996258996430817,0.495562097236702,False,0.4854716381840476,0.836641079620235,False,False,0.1455101142319558,0.968453787701545,False,-3.508958825174895,0.0977700898680748,False,-3.794063325876585,0.104442160452356,True,False,0,0,0,1,False,False,1.0,1.0,1.0,1.0,1.0,1.0,3,unstable
HALLMARK_HYPOXIA,Gpc4,-0.1579432873409285,0.935136696173005,False,-0.5987131501743709,0.733236398513327,False,-0.499338550816562,0.849879170815047,False,False,2.7004587182180217,0.0579353819885463,True,0.9004638511522356,0.542459506835214,False,-1.69434274120598,0.349274484225186,True,True,0.9614232548398388,0.720714524644058,False,-0.5373219240409423,0.858217828886392,False,-1.5005071560688557,0.73789719629915,True,False,1,1,0,2,False,False,0.988,0.964,3.0,1.0,1.0,3.0,2,unstable
HALLMARK_HYPOXIA,Gpi1,2.8278970449937404,0.114975587749116,True,2.693187601733635,0.130067265508143,True,0.1444901046463813,0.96093435100488,False,False,3.69115796930961,0.0137106671570704,True,1.1911426098178792,0.408045971068791,True,-2.214297834277521,0.20919370042715,True,True,0.949596346364204,0.724204297963411,False,-0.713519823997423,0.800539197565548,False,-1.6932365048615126,0.686809046320258,True,False,1,2,2,2,False,False,0.9282499999999999,0.777,6.0,0.9666666666666667,0.8,6.0,3,unstable
HALLMARK_HYPOXIA,Grhpr,0.4105456334247133,0.820795709355323,False,0.5972257090675812,0.733814420699042,False,0.2439813590856547,0.932775489042378,False,False,0.406124169797157,0.799459329130486,False,0.7593365092022804,0.613626883558215,False,0.2904354783286162,0.907541314538548,False,False,-1.8615203725061276,0.442016740407574,False,-0.8556985494019974,0.755240673153213,False,0.910936473171706,0.852303499929566,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,2,not_evaluable
HALLMARK_HYPOXIA,Gys1,6.184594616343602,0.0122306366109616,True,3.2530981634413343,0.0791007507222728,True,-2.3580666529527727,0.265588608062829,True,True,3.9079039314347206,0.0100071973437153,True,0.5644962064904021,0.71595688900956,False,-3.090053627775023,0.0794529299834557,True,True,0.4530767056474121,0.883806155211962,False,-0.4794084801598703,0.876407228946812,False,-0.9633612532009628,0.843388976115437,False,False,2,2,1,2,False,False,0.9382999999999999,0.6915,5.0,0.9199999999999999,0.6,5.0,2,unstable
