program,contrast_id,null_level,diagnostic,observed,null_median,difference,standardized_difference,threshold,pass
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,mean_expression,4.7570351295823254,3.9632734033463626,0.79215139652290434,0.47510314707503953,0.25,False
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,log_expression_variance,0.42878761648025682,0.37692662741485922,0.05120144132426091,0.18946648163382479,0.25,True
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,detectability,0.99497844405251812,0.99370468351949826,0.0014200960219478143,0.056534355801129518,0.25,True
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,mean_pairwise_residual_correlation,0.15646600046531561,0.1553199208352195,0.0011460796300961085,NA,0.050000000000000003,True
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,effective_gene_set_size_relative_difference,7.1886038684166822,7.1508888202672178,0.0052465052797200859,NA,0.20000000000000001,True
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,mean_expression,4.7570351295823254,3.9519480319696418,0.80833211662763649,0.48466368988714081,0.25,False
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,log_expression_variance,0.42878761648025682,0.37731296328368014,0.050151611823311792,0.1858024833350434,0.25,True
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,detectability,0.99497844405251812,0.99343523417597479,0.0016833725259649546,0.066156434941752412,0.25,True
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,mean_pairwise_residual_correlation,0.15646600046531561,0.15530073255471882,0.00116526791059679,NA,0.050000000000000003,True
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,effective_gene_set_size_relative_difference,7.1886038684166822,7.1529162907716,0.0049644657430459533,NA,0.20000000000000001,True
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
