dataset,contrast_id,effect_type,term,es,nes,nominal_p,fdr,fwer_p,tag_fraction,gene_fraction,leading_edge_genes,n_ranked_genes,n_exact_tied_genes_before_deterministic_break
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_MYOGENESIS,0.33681269408158726,1.4145296943453796,0.010864072764022233,0.07348537911638425,0.5724,45/182,14.49%,Fabp3;Col15a1;Igf1;Mb;Tnni2;Ppfia4;Aplnr;Sh3bgr;Gaa;Fkbp1b;Cox6a2;Vipr1;Myom1;Mybpc3;Myl2;Myl4;Speg;Mef2c;Mybph;Lsp1;Itgb5;Plxnb2;Crat;Fhl1;Atp2a1;Ryr1;Gpx3;Myh1;Mylpf;Tpd52l1;Ak1;Cox7a1;Agrn;Sgca;Lpin1;Ablim1;Tnnt3;Sirt2;Col3a1;Sparc;Col6a3;Bin1;Tpm2;Psen2;Nqo1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_GLYCOLYSIS,-0.2926590450431751,-1.4105456686532725,0.0030120481927710845,0.03703401230913021,0.229,63/184,18.16%,Pfkp;Stc1;Nt5e;Glrx;Igfbp3;Tgfa;Met;Cd44;Gale;Pgm2;Egln3;Abcb6;B3gnt3;Adora2b;Fam162a;P4ha2;Ak4;Sox9;Copb2;Bpnt1;Chpf;Hdlbp;Gys1;Nasp;Prps1;B4galt2;Got2;B3gat3;Ecd;Tgfbi;Med24;Angptl4;Psmc4;Gmppb;Dld;Hspa5;Sdc1;Pkm;Homer1;Tpbg;Me2;B3galt6;Tpst1;Fkbp4;Kif2a;Nsdhl;Gpc1;Slc16a3;Me1;Ldha;Il13ra1;Vegfa;Mif;Mdh2;Tpi1;Cth;Gclc;Ppp2cb;Chst2;Eno2;Galk1;Pkp2;Efna3,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_XENOBIOTIC_METABOLISM,0.33896939325479875,1.400191977824313,0.013016845329249618,0.07527136604756414,0.6266,61/167,19.48%,Apoe;Igf1;Acp2;Kynu;Cyp27a1;Cat;Csad;Aldh2;Dcxr;Fbln1;Acox3;Slc6a6;Cbr1;Cdo1;Idh1;Abcc3;Hes6;Retsat;Tmem176b;Blvrb;Fmo1;Pts;Bphl;Ptgr1;Angptl3;Abhd6;Dhrs7;Gstm4;Npc1;Igfbp1;Irf8;Esr1;Abcd2;Crot;Lpin2;Gstt2;Hacl1;Gsto1;Comt;Cyb5a;Ephx1;Id2;Nmt1;Jup;Asl;Nqo1;Ddc;Ddt;Aldh9a1;Fbp1;Tgfb2;Tkfc;Slc46a3;Cyp2s1;Ninj1;Upb1;Casp6;Pink1;Tmbim6;Cyp2e1;Mccc2,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_KRAS_SIGNALING_DN,0.3290814729562998,1.330392147001482,0.04503796805446452,0.12941981639014688,0.8358,39/140,17.34%,Slc16a7;Gamt;Selenop;Ifi44l;Scgb1a1;Kcnd1;Tent5c;Idua;Pdcd1;Slc29a3;Coq8a;Skil;Ryr1;Ccna1;Btg2;Capn9;Thnsl2;Ypel1;Cacna1f;Magix;Stag3;Pdk2;Edar;Copz2;Slc38a3;Hc;Prkn;P2rx6;Slc12a3;Camk1d;Msh5;Ccdc106;Tgfb2;Bard1;Krt15;Fggy;Sphk2;Snn;Cyp39a1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_G2M_CHECKPOINT,0.30913522443035285,1.3021069427457432,0.04648241206030151,0.15009986404490944,0.8942,51/194,13.24%,Cdkn3;Espl1;Cdkn2c;Ccnb2;Nusap1;Cdk1;Pbk;Plk1;Fbxo5;Birc5;Ccna2;E2f2;Aurkb;H2az2;Ndc80;Racgap1;Tpx2;Nek2;Cenpa;Hmmr;Tacc3;Mad2l1;H2az1;Cdc20;Stmn1;Cenpe;Ube2c;Aurka;Cdc25b;Marcks;Ccnf;Kif11;Smc4;Bub1;Mki67;Kif4;Kif15;Knl1;Top2a;Stil;Cenpf;Cks2;H2bc12;Incenp;Arid4a;Kif23;Ttk;Dbf4;Slc7a5;Prc1;Troap,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_ANGIOGENESIS,-0.36979091317300955,-1.2894464906786036,0.1249305941143809,0.09350568232946395,0.4924,11/34,9.54%,Stc1;Timp1;Cxcl5;Ccnd2;Thbd;Fgfr1;S100a4;Kcnj8;Ptk2;Jag1;Slco2a1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_E2F_TARGETS,0.29889371928917674,1.2611833436497717,0.06783479349186483,0.19232962798597708,0.9566,44/197,10.46%,Tk1;Cdkn3;Prdx4;Espl1;Cdkn2c;Ccnb2;Spc25;Cdk1;Plk1;Spc24;Birc5;Cdca3;Aurkb;Racgap1;Dlgap5;Mxd3;Asf1b;Depdc1a;Melk;Hmmr;Tacc3;Mad2l1;Rrm2;H2az1;Cdc20;Bub1b;Stmn1;Cenpe;Rad51ap1;Ncapd2;Cdca8;Diaph3;Aurka;Cdc25b;Cenpm;E2f8;Smc4;Chek2;Ube2t;Mki67;Kif4;Top2a;Cks2;Tcf19,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2964866786735442,1.2354984914803775,0.09184960888215998,0.21575453317929003,0.9754,80/180,28.79%,Il18bp;Lgals3bp;Irf1;Ifi44l;Cxcl9;Il10ra;Epsti1;Tnfaip2;Casp4;Il15;B2m;Slamf7;Psmb9;Trim14;Ifnar2;Casp1;Bst2;Stat1;Trafd1;Tapbp;Casp7;Irf8;Cd69;Dhx58;Sp110;Nfkb1;Ptpn6;H2-DMa;Cd40;Icam1;Psmb8;Ly6e;Batf2;Psme1;Tnfsf10;Ncoa3;Ube2l6;Eif4e3;St3gal5;Tap1;Irf5;Lcp2;Vamp8;Nfkbia;Rapgef6;Irf7;Cd38;Irf2;Tnfaip3;H2-Aa;Peli1;Gpr18;Nampt;Sri;Eif2ak2;Rbck1;Bank1;Ddx60;Irf4;Ifi27;Trim26;Ogfr;St8sia4;Cmklr1;Gbp3;Ciita;Arl4a;Rtp4;Cd86;Cd74;Xaf1;Cmpk2;Casp8;Cfb;Znfx1;Vcam1;Ifit2;Psmb10;Ifit3;Stat4,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_SPERMATOGENESIS,0.31531581595181,1.2159491918817942,0.1402050429481851,0.23235758931674494,0.9858,20/102,12.12%,Gsg1;Ncaph;Cdkn3;Ccnb2;Cdk1;Slc2a5;Il12rb2;Acrbp;Clgn;Ddx4;Nek2;Ccna1;Aurka;Bub1;Phf7;Lpin1;Prm2;Pomc;Ttk;Dbf4,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_APOPTOSIS,0.2952126393212068,1.2091884670578794,0.12234318299637117,0.22791718129824395,0.9898,50/157,19.04%,Mmp2;Irf1;Casp4;Ppt1;Bik;Hgf;Lum;Sat1;Retsat;Casp1;Ank;Plcb2;Birc3;Ccna1;Casp7;Btg2;Madd;Gpx3;Timp2;Gna15;Cdc25b;Cd69;H1f0;Sqstm1;Dap;Top2a;Gstm2;Mgmt;Bgn;Il1b;Ifngr1;Bcl10;Tnfsf10;Tap1;Pmaip1;Psen2;Bnip3l;Bmf;Ddit3;Gpx1;Bid;Tgfb2;Ctnnb1;Gadd45b;Sod1;Casp2;Pdcd4;Cd38;Casp6;Pea15a,18747,16
