dataset,method,myc_program,contrast_id,estimate_adjusted,se,df_residual,ci_low,ci_high,nominal_p,direction,expected_direction,expected_direction_retained,design_rank,design_columns,condition_number,max_vif,vif_E2F,vif_G2M,vif_dpi_1,vif_dpi_7,evaluable,status,reason,nominal_p_fdr_within_method_contrast
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-0.5403477806809451,0.3386711557002147,3.0,-1.6181505488452568,0.5374549874833665,0.20887162638159293,-1,-1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.2506459516579115
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,injury_d1_vs_uninjured,1.3145495408286847,1.1628478440094425,3.0,-2.3861512839462913,5.01525036560366,0.3404940896206068,1,1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.3404940896206068
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,injury_d7_vs_uninjured,0.38170132138041346,1.2188087770748963,3.0,-3.4970921680689444,4.260494810829771,0.7746573759217906,1,1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.9295888511061488
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,change_d7_minus_d1,-0.9328482194482712,0.4608851369457186,3.0,-2.399590420681349,0.5338939817848065,0.13612475597839382,-1,-1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.20418713396759075
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.8853855769182506,0.6048721215503929,4.0,0.20599133576905748,3.5647798180674437,0.035629840686441386,1,1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.05344476102966208
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,1.639156300527837,0.6412775525525072,4.0,-0.14131562132979236,3.419628222385466,0.06289875502874374,1,1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.1257975100574875
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-0.2462292763904137,0.420610984610616,4.0,-1.414032585804983,0.9215740330241555,0.5897078148992352,-1,-1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.5897078148992352
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d1_vs_uninjured,2.478582372905409,0.4214383096559783,4.0,1.3084820409182363,3.6486827048925816,0.004177181619364894,1,1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.008354363238729788
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d7_vs_uninjured,1.2424924431026518,0.44680341205894986,4.0,0.001967296705907673,2.483017589499396,0.04977531975614677,1,1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.1257975100574875
GSE304399,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,change_d7_minus_d1,-1.2360899298027572,0.29305629415136925,4.0,-2.049744643246731,-0.42243521635878334,0.013500017564326346,-1,-1,True,5,5,16.657052842200887,67.69445397237273,67.69445397237273,64.70674456871181,2.910691161007382,3.2716065294187033,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.02700003512865269
GSE304399,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.0606354308091204,0.27377197861451735,4.0,0.30052256084452866,1.8207483007737122,0.017930034240903052,1,1,True,5,5,11.258865625038615,8.154037421313939,4.728308222186862,6.27761337639324,4.722683569972805,8.154037421313939,True,evaluable_exploratory,,0.035860068481806104
GSE304399,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,0.8710893005975469,0.35973353126425467,4.0,-0.12769110145661045,1.8698697026517042,0.07264631612742521,1,1,True,5,5,11.258865625038615,8.154037421313939,4.728308222186862,6.27761337639324,4.722683569972805,8.154037421313939,True,evaluable_exploratory,,0.18366028030336234
GSE304399,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-0.18954613021157352,0.17502615108569167,4.0,-0.6754966306750516,0.2964043702519046,0.3397442835821672,-1,-1,True,5,5,11.258865625038615,8.154037421313939,4.728308222186862,6.27761337639324,4.722683569972805,8.154037421313939,True,evaluable_exploratory,,0.3397442835821672
