PROBEID,SYMBOL,probe_iqr,selection_rule
1453346_at,1700011L22Rik,0.11962616540325,maximum_across_sample_IQR_then_lexicographic_probe_id
1429142_at,1700012A03Rik,0.0883982434703494,maximum_across_sample_IQR_then_lexicographic_probe_id
1428703_at,1700012B07Rik,0.0475772274063582,maximum_across_sample_IQR_then_lexicographic_probe_id
1428984_a_at,1700012B09Rik,0.282295321525767,maximum_across_sample_IQR_then_lexicographic_probe_id
1459813_at,1700012D01Rik,0.171094646046498,maximum_across_sample_IQR_then_lexicographic_probe_id
1453454_at,1700012E03Rik,0.113604701864815,maximum_across_sample_IQR_then_lexicographic_probe_id
1453460_at,1700012I11Rik,0.2312682559454,maximum_across_sample_IQR_then_lexicographic_probe_id
1436496_at,1700012O15Rik,0.125298211312234,maximum_across_sample_IQR_then_lexicographic_probe_id
1437792_at,1700013D24Rik,0.115591858815868,maximum_across_sample_IQR_then_lexicographic_probe_id
1453167_at,1700013G24Rik,0.141597260439852,maximum_across_sample_IQR_then_lexicographic_probe_id
1453331_at,1700013H16Rik,0.0687478521247056,maximum_across_sample_IQR_then_lexicographic_probe_id
1432475_at,1700014B07Rik,0.0694301246794353,maximum_across_sample_IQR_then_lexicographic_probe_id
1447673_x_at,1700015C15Rik,0.139737902645796,maximum_across_sample_IQR_then_lexicographic_probe_id
1432470_at,1700016A09Rik,0.0881529904150105,maximum_across_sample_IQR_then_lexicographic_probe_id
1429837_at,1700016D18Rik,0.140719534267235,maximum_across_sample_IQR_then_lexicographic_probe_id
1453879_at,1700016H13Rik,0.203852950675145,maximum_across_sample_IQR_then_lexicographic_probe_id
1438791_at,1700016P04Rik,0.116737979076463,maximum_across_sample_IQR_then_lexicographic_probe_id
1429758_at,1700017B05Rik,0.6866807621767,maximum_across_sample_IQR_then_lexicographic_probe_id
1429645_at,1700017G19Rik,0.139087930805739,maximum_across_sample_IQR_then_lexicographic_probe_id
1454326_at,1700017H01Rik,0.239466687778342,maximum_across_sample_IQR_then_lexicographic_probe_id
1457258_at,1700017L05Rik,0.0510596428193741,maximum_across_sample_IQR_then_lexicographic_probe_id
1430140_at,1700017N19Rik,0.108685079183789,maximum_across_sample_IQR_then_lexicographic_probe_id
1431567_at,1700018A04Rik,0.254556496999463,maximum_across_sample_IQR_then_lexicographic_probe_id
1453900_at,1700018A14Rik,0.118675423727567,maximum_across_sample_IQR_then_lexicographic_probe_id
1429075_a_at,1700018B08Rik,0.0773247935590362,maximum_across_sample_IQR_then_lexicographic_probe_id
1451061_at,1700018B24Rik,0.121893729502403,maximum_across_sample_IQR_then_lexicographic_probe_id
1449923_at,1700018F24Rik,0.152068716018698,maximum_across_sample_IQR_then_lexicographic_probe_id
1431148_at,1700018L02Rik,0.0736138196578313,maximum_across_sample_IQR_then_lexicographic_probe_id
1430844_at,1700018M17Rik,0.144351780188019,maximum_across_sample_IQR_then_lexicographic_probe_id
1454385_at,1700018P08Rik,0.19501350697824,maximum_across_sample_IQR_then_lexicographic_probe_id
1429037_at,1700019A02Rik,0.213744527709887,maximum_across_sample_IQR_then_lexicographic_probe_id
1430368_s_at,1700019D03Rik,0.805520958992735,maximum_across_sample_IQR_then_lexicographic_probe_id
1433001_at,1700019L13Rik,0.108288160924512,maximum_across_sample_IQR_then_lexicographic_probe_id
1429513_at,1700019M22Rik,0.069050895918414,maximum_across_sample_IQR_then_lexicographic_probe_id
1447710_at,1700019P21Rik,0.0842402189905451,maximum_across_sample_IQR_then_lexicographic_probe_id
1430422_at,1700020A23Rik,0.172800343296356,maximum_across_sample_IQR_then_lexicographic_probe_id
1447505_at,1700020G03Rik,0.273262383491117,maximum_across_sample_IQR_then_lexicographic_probe_id
1453779_at,1700020L24Rik,0.187997075124886,maximum_across_sample_IQR_then_lexicographic_probe_id
1432493_at,1700020M10Rik,0.106794812080453,maximum_across_sample_IQR_then_lexicographic_probe_id
1429868_at,1700020N01Rik,0.324163496663669,maximum_across_sample_IQR_then_lexicographic_probe_id
1430524_at,1700020N15Rik,0.191630128880973,maximum_across_sample_IQR_then_lexicographic_probe_id
1453964_at,1700021A07Rik,0.0702642922955494,maximum_across_sample_IQR_then_lexicographic_probe_id
1447648_at,1700021N20Rik,0.148113322975166,maximum_across_sample_IQR_then_lexicographic_probe_id
1432528_at,1700021P04Rik,0.112502119268922,maximum_across_sample_IQR_then_lexicographic_probe_id
1453157_at,1700022A21Rik,0.0934780843726477,maximum_across_sample_IQR_then_lexicographic_probe_id
1432341_at,1700022A22Rik,0.0531930515775123,maximum_across_sample_IQR_then_lexicographic_probe_id
1453383_at,1700022F17Rik,0.0786413809438531,maximum_across_sample_IQR_then_lexicographic_probe_id
1453974_at,1700023A20Rik,0.132992702818585,maximum_across_sample_IQR_then_lexicographic_probe_id
1419952_at,1700023D09Rik,0.056446431150726,maximum_across_sample_IQR_then_lexicographic_probe_id
1441078_at,1700023F02Rik,0.0295609857159551,maximum_across_sample_IQR_then_lexicographic_probe_id
1432069_at,1700023G09Rik,0.110889626865208,maximum_across_sample_IQR_then_lexicographic_probe_id
1459253_at,1700023H06Rik,0.403114405582234,maximum_across_sample_IQR_then_lexicographic_probe_id
1430006_x_at,1700024B05Rik,0.257006282910726,maximum_across_sample_IQR_then_lexicographic_probe_id
1430261_at,1700024J04Rik,0.151634608868009,maximum_across_sample_IQR_then_lexicographic_probe_id
1454566_at,1700024P12Rik,0.410068364188289,maximum_across_sample_IQR_then_lexicographic_probe_id
1436431_at,1700025G04Rik,0.443268356008657,maximum_across_sample_IQR_then_lexicographic_probe_id
1454273_at,1700025H01Rik,0.0468859381099263,maximum_across_sample_IQR_then_lexicographic_probe_id
1454165_at,1700025K04Rik,0.0808934972308344,maximum_across_sample_IQR_then_lexicographic_probe_id
1432983_at,1700026H06Rik,0.303620247849876,maximum_across_sample_IQR_then_lexicographic_probe_id
1453793_at,1700026J12Rik,0.129457732444247,maximum_across_sample_IQR_then_lexicographic_probe_id
1458398_at,1700027F06Rik,0.275625210611253,maximum_across_sample_IQR_then_lexicographic_probe_id
1430507_at,1700027J07Rik,0.163942365992583,maximum_across_sample_IQR_then_lexicographic_probe_id
1440352_at,1700028E10Rik,0.0846923270473674,maximum_across_sample_IQR_then_lexicographic_probe_id
1453459_at,1700028I16Rik,0.131696097003097,maximum_across_sample_IQR_then_lexicographic_probe_id
1432186_at,1700028J19Rik,0.138785288367171,maximum_across_sample_IQR_then_lexicographic_probe_id
1432502_at,1700028N14Rik,0.131309727352226,maximum_across_sample_IQR_then_lexicographic_probe_id
1419715_at,1700029F12Rik,0.0488077518587504,maximum_across_sample_IQR_then_lexicographic_probe_id
1450999_a_at,1700029H14Rik,0.0589401429471827,maximum_across_sample_IQR_then_lexicographic_probe_id
1440793_at,1700029M03Rik,0.127920749633373,maximum_across_sample_IQR_then_lexicographic_probe_id
1453154_at,1700029M20Rik,0.12425018643724,maximum_across_sample_IQR_then_lexicographic_probe_id
1454308_at,1700030C10Rik,0.112609290085155,maximum_across_sample_IQR_then_lexicographic_probe_id
1430565_at,1700030J22Rik,0.166358229867078,maximum_across_sample_IQR_then_lexicographic_probe_id
